item,railroadName,item2,date_start,date_end,destination,,Friendly_Name,Mileage_start,Mileage_end,
1,"D&RGW",					1,1908,1988,Southern Pacific,,,,,
2,"Denver & Rio Grande",	2,1870,1908,D&RGW,1,,,,
3,"Rio Grande Western",		3,1890,1908,D&RGW,1,,,,
6,"Missouri Pacific",		4,1851,1997,
7,"Union Pacific (final)",	5,1880,2015,
8,"Western Pacific",		6,1903,1983,
9,"Southern Pacific",		7,1865,1996,
10,"Chicago & Northwestern",8,1865,1995,
11,"C&S",					9,1898,1981,
12,"CB&Q",					10,1849,1970,Burlington Northern,19,,,,
13,"Northern Pacific",11,1865,1970,Burlington Northern,19,,,,
14,"Great Northern",12,1857,1970,Burlington Northern,19,,,,
15,"Spokane, Portland & Seattle",20,1905,1970,Burlington Northern,19,,,,
16,"Burlington Northern",19,1970,1996,,#N/A,,,,
17,"Atchison, Topeka and Santa Fe Railway",22,1859,1996
18,"Burlington Northern Santa Fe",23,1996,2015
19,"Conrail",14,1976,1999,,,#N/A,,,,
20,"Erie Lackawanna", 15,1960,1976,Erie Lackawanna,#N/A,,,,
21,"Erie",16,1835,1960,,#N/A,,,,
22,"Lehigh Valley Railroad",17,1853,1960,,#N/A,,,,
